nome,data_nascimento,nacionalidade
Ana Silva,1985-03-15,Brasileiro
John Smith,1978-11-22,Americano
Marie Dubois,1992-07-01,Francês
Javier Garcia,1980-05-20,Espanhol
Giulia Rossi,1995-02-10,Italiano
Kenji Tanaka,1975-09-03,Japonês
Li Wei,1988-12-05,Chinês
Priya Sharma,1990-06-18,Indiano
Max Schmidt,1983-04-25,Alemão
Olga Petrova,1970-08-12,Russo
Emily White,1986-01-30,Britânico
Chris Brown,1991-10-08,Australiano
Beatriz Costa,1972-04-05,Brasileiro
David Johnson,1989-09-11,Americano
Sophie Martin,1984-06-28,Francês
Pablo Ruiz,1993-03-07,Espanhol
Marco Ferrari,1977-11-19,Italiano
Akira Sato,1981-02-23,Japonês
Wang Feng,1996-07-14,Chinês
Amit Singh,1979-05-02,Indiano
Lena Müller,1994-12-26,Alemão
Ivan Smirnov,1987-01-09,Russo
Sarah Green,1973-08-01,Britânico
James Wilson,1990-04-16,Australiano
Fernando Santos,1982-10-29,Brasileiro
Jessica Lee,1976-06-03,Americano
Pierre Leclerc,1991-03-21,Francês
Maria Lopez,1985-09-06,Espanhol
Luca Bianchi,1993-01-17,Italiano
Hiroshi Nakamura,1974-05-09,Japonês
Chen Ling,1988-11-28,Chinês
Rajesh Kumar,1992-07-07,Indiano
Anna Weber,1980-02-14,Alemão
Dmitry Sokolov,1995-04-22,Russo
Laura Taylor,1971-12-03,Britânico
Daniel Clark,1986-08-10,Australiano
Carla Mendes,1989-01-25,Brasileiro
Michael Davis,1970-07-18,Americano
Camille Bernard,1994-05-01,Francês
Diego Gomez,1975-10-13,Espanhol
Sofia Ricci,1983-03-29,Italiano
Yuki Kobayashi,1990-12-04,Japonês
Zhou Mei,1978-06-16,Chinês
Neha Gupta,1996-09-27,Indiano
Franz Becker,1981-04-08,Alemão
Elena Volkov,1991-02-06,Russo
Tom Harris,1972-09-15,Britânico
Olivia King,1987-05-23,Australiano
Marcelo Vieira,1995-11-02,Brasileiro
Emma Watson,1990-04-15,Britânico
